       ID,grpID, flag ,       ra ,      dec ,   MagK ,     Ks ,    logK ,  Vls ,  dist , mDist , R_theta , sigmaP_dyn , sigmaP_lum ,Mv_dyn,Mv_lum,Rg_angular,Rg_dyn,R2t_dyn,R2t_lum,r2t_lum,tX_dyn,tX_lum,No_Galaxies,nest
  1007029 ,  3851 ,    0 ,  53.9914 , -29.4072 , -23.47 ,   4.45 , 10.7011 ,  519 ,  3.84 ,  3.84 , 0.00000 ,        0.0 ,      100.8 , 0.00e+00 , 2.05e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.273 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007029
  1007046 ,  3874 ,    0 , 228.2035 ,  32.2997 , -23.21 ,   5.41 , 10.5956 ,  597 ,  5.29 ,  5.29 , 0.00000 ,        0.0 ,       91.9 , 0.00e+00 , 1.55e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.249 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007046
  1007047 ,  3875 ,    0 , 103.8063 , -51.0497 , -23.65 ,   7.58 , 10.7713 , 1282 , 17.64 , 17.64 , 0.00000 ,        0.0 ,      107.2 , 0.00e+00 , 2.47e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.290 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007047
  1007060 ,  3890 ,    0 , 196.0694 ,  18.0544 , -23.66 ,   7.39 , 10.7758 , 1129 , 16.23 , 16.23 , 0.00000 ,        0.0 ,      107.7 , 0.00e+00 , 2.50e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.292 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007060
  1007071 ,  3900 ,    0 ,  56.3156 ,  38.4501 , -23.08 ,   8.11 , 10.5457 , 1183 , 17.32 , 17.32 , 0.00000 ,        0.0 ,       88.1 , 0.00e+00 , 1.37e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.239 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007071
  1007076 ,  3905 ,    0 , 146.5308 ,  84.8249 , -22.41 ,   6.62 , 10.2771 ,  590 ,  6.40 ,  6.40 , 0.00000 ,        0.0 ,       71.8 , 0.00e+00 , 7.42e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.195 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007076
  1007077 ,  3906 ,    0 ,  48.7822 ,  16.8759 , -23.13 ,   8.55 , 10.5631 , 1550 , 21.63 , 21.63 , 0.00000 ,        0.0 ,       89.4 , 0.00e+00 , 1.43e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.242 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007077
  1007082 ,  3914 ,    0 , 265.6243 , -28.5574 , -22.34 ,   9.09 , 10.2493 , 1232 , 19.38 , 19.38 , 0.00000 ,        0.0 ,       70.5 , 0.00e+00 , 7.00e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.191 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007082
  1007102 ,  3941 ,    0 , 229.2220 ,  29.6542 , -23.36 ,   7.27 , 10.6563 ,  993 , 13.35 , 13.35 , 0.00000 ,        0.0 ,       96.9 , 0.00e+00 , 1.82e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.262 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007102
  1007118 ,  3973 ,    0 , 114.9183 , -62.4984 , -21.46 ,   9.82 ,  9.8944 , 1388 , 18.03 , 18.03 , 0.00000 ,        0.0 ,       56.5 , 0.00e+00 , 3.60e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.153 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007118
  1007119 ,  3973 ,    0 , 117.0130 , -62.2590 , -20.20 ,  11.10 ,  9.3929 , 1221 , 18.19 , 18.19 , 0.00000 ,        0.0 ,       43.7 , 0.00e+00 , 1.67e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.118 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007119
  1007184 ,  4080 ,    0 , 174.4591 ,   9.9354 , -22.89 ,   7.46 , 10.4690 ,  799 , 11.75 , 11.75 , 0.00000 ,        0.0 ,       82.8 , 0.00e+00 , 1.14e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.224 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007184
  1007185 ,  4082 ,    0 , 148.6107 , -36.6011 , -22.66 ,   8.42 , 10.3753 , 1239 , 16.40 , 16.40 , 0.00000 ,        0.0 ,       77.1 , 0.00e+00 , 9.17e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.209 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007185
  1007187 ,  4084 ,    0 , 225.9711 ,   6.3443 , -22.58 ,   9.03 , 10.3448 , 1393 , 21.06 , 21.06 , 0.00000 ,        0.0 ,       75.4 , 0.00e+00 , 8.57e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.204 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007187
  1007202 ,  4117 ,    0 , 194.6561 ,   7.7995 , -23.41 ,   8.48 , 10.6753 , 1645 , 23.91 , 23.91 , 0.00000 ,        0.0 ,       98.5 , 0.00e+00 , 1.91e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.267 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007202
  1007209 ,  4130 ,    0 , 302.8855 ,  -3.8197 , -22.41 ,   6.79 , 10.2741 ,  664 ,  6.92 ,  6.92 , 0.00000 ,        0.0 ,       71.7 , 0.00e+00 , 7.37e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.194 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007209
  1007212 ,  4138 ,    0 ,  10.1486 , -44.6029 , -22.65 ,   7.46 , 10.3715 ,  982 , 10.51 , 10.51 , 0.00000 ,        0.0 ,       76.9 , 0.00e+00 , 9.09e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.208 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007212
  1007220 ,  4159 ,    0 ,  73.3741 ,   3.8539 , -22.97 ,   8.83 , 10.5010 , 1584 , 22.94 , 22.94 , 0.00000 ,        0.0 ,       85.0 , 0.00e+00 , 1.23e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.230 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007220
