"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
4074950,SDSSJ084015.38+053814.2,130.0641,5.6374,220.6550,26.7246,9.08,1897,1727,0.00,0,24374,24374,2,1925,1755,11.246,9.422,3.55,18.52,-28.30
4074996,SDSSJ100142.11+371443.2,150.4255,37.2453,186.1815,53.0223,8.94,1567,1556,0.00,0,29034,29034,4,1528,1516,11.294,11.398,15.15,32.27,-13.84
4075024,SDSSJ103709.90+123921.0,159.2913,12.6558,230.9727,55.4316,8.61,2977,2840,0.00,0,31528,31528,3,2899,2762,11.913,11.769,-1.56,38.54,-20.66
4075032,SDSSJ104456.00+004433.4,161.2334,0.7426,248.6268,49.7879,8.18,1614,1424,0.00,0,1174229,1174229,2,1603,1413,10.818,7.957,-4.41,15.56,-9.69
4075051,SDSSJ111217.23+651335.3,168.0717,65.2265,138.4058,48.8157,7.88,1053,1198,0.00,0,34078,34692,2,1060,1206,10.689,7.924,10.58,12.04,1.14
4075062,SDSSJ112344.82-005011.2,170.9368,-0.8366,262.3583,54.9735,8.54,2642,2457,0.00,0,34967,34967,2,2629,2444,11.501,10.143,-10.73,28.22,-12.30
4075063,SDSSJ112425.78+031946.6,171.1071,3.3300,258.0195,58.3978,8.75,1383,1217,0.00,0,34778,34778,17,1477,1309,12.603,13.100,-7.17,24.07,-9.52
4075067,SDSSJ112911.25+115157.5,172.2969,11.8661,247.2698,65.4007,9.58,3181,3056,0.00,0,4075067,4075067,2,3205,3080,11.358,9.303,-5.81,38.85,-11.86
4075071,2MASXJ10551845-3028022,163.8270,-30.4672,275.1776,26.0722,8.35,2134,1845,0.00,0,32821,31478,2,2151,1862,11.459,8.957,-27.73,20.97,-22.97
4075132,6dFJ0923052-322537,140.7715,-32.4269,259.9157,12.5375,7.73,1779,1477,0.00,0,26561,23222,3,1769,1467,12.614,12.276,-12.64,7.38,-19.11
4075541,6dFJ1244552-213939,191.2302,-21.6608,300.9197,41.1855,8.36,2781,2561,0.00,0,4075541,4075541,1,2781,2561,10.687,,-24.65,23.15,-4.76
4075569,6dFJ0421194-313805,65.3308,-31.6346,231.7658,-44.4871,8.85,2552,2391,0.00,0,4075569,4075569,1,2552,2391,10.929,,-1.74,-19.71,-25.00
4075640,6dFJ0226224-241719,36.5934,-24.2886,210.6858,-68.4603,8.44,1551,1507,0.00,0,9273,13418,2,1554,1511,11.459,7.076,1.79,-15.04,-7.67
