"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
35,UGC12894,0.0938,39.4955,112.3102,-22.3207,7.54,335,618,0.00,0,35,591,1,335,618,10.276,,6.90,-3.47,2.86
38,UGC12893,0.1188,17.2203,105.9151,-43.9611,8.44,1108,1338,0.00,0,38,38,1,1108,1338,10.724,,10.95,-13.05,5.30
43,ESO293-027,0.1229,-40.4844,337.9255,-72.9984,9.79,3181,3147,0.00,0,43,43,1,3181,3147,11.484,,-11.49,-40.36,-0.14
143,WLM,0.4926,-15.4609,75.8635,-73.6245,7.71,-122,-29,0.96,5,143,2557,1,-122,-29,10.362,,0.13,-0.94,0.14
156,IC5377,0.5224,16.5903,106.1972,-44.6719,8.63,1050,1278,0.00,0,218,218,6,964,1188,12.498,12.272,6.06,-7.36,2.87
171,UGC12921,0.5877,77.2569,120.1543,14.6507,10.36,2419,2695,0.00,0,171,171,1,2419,2695,11.950,,33.21,7.90,11.23
181,ESO012-014,0.6766,-80.3482,305.4559,-36.5399,8.92,1956,1741,12.13,25,181,181,1,1956,1741,10.963,,-9.54,-6.96,-2.79
187,ESO149-013,0.6945,-52.7716,319.1268,-62.7997,8.46,1443,1346,0.00,0,187,187,1,1443,1346,10.737,,-8.20,-15.89,-1.51
218,NGC7814,0.8121,16.1456,106.4089,-45.1746,10.84,1059,1284,14.45,10,218,218,6,964,1188,12.498,12.272,8.73,-10.76,4.08
255,UGC00017,0.9302,15.2182,106.2149,-46.0989,8.69,879,1101,19.41,14,218,218,6,964,1188,12.498,12.272,11.52,-14.67,5.38
268,PGC000268,0.9672,30.2786,110.8875,-31.4781,9.65,2936,3201,0.00,0,268,268,1,2936,3201,11.384,,32.58,-23.94,13.68
279,NGC7817,0.9952,20.7523,108.2283,-40.7605,10.99,2309,2548,29.38,14,279,279,2,2242,2481,12.646,11.487,19.43,-20.26,8.66
285,PGC000285,1.0263,-57.3926,315.1758,-58.5962,9.09,1889,1770,0.00,0,285,285,1,1889,1770,11.053,,-12.29,-19.97,-2.69
305,UGC00027,1.1200,5.8472,102.2018,-55.1233,9.70,3114,3301,44.46,18,305,307,1,3114,3301,11.418,,20.78,-37.87,10.54
307,NGC7820,1.1283,5.2002,101.8517,-55.7391,10.72,3053,3237,0.00,0,307,307,1,3053,3237,12.338,,19.77,-37.01,10.10
332,UGC00031,1.2172,17.1921,107.3154,-44.2630,8.78,1034,1262,0.00,0,218,218,6,964,1188,12.498,12.272,6.16,-7.29,2.78
365,UGC00035,1.2885,6.2596,102.7037,-54.7842,8.87,3108,3296,0.00,0,365,307,1,3108,3296,10.940,,20.84,-37.27,10.37
388,ESO409-015,1.3830,-28.0983,24.8340,-79.7884,7.54,726,753,8.71,9,388,388,1,726,753,10.274,,-0.59,-8.68,0.47
414,ESO538-021,1.4418,-22.0774,56.4089,-78.4629,9.04,3148,3206,0.00,0,134641,134641,2,3114,3172,11.301,11.365,1.33,-42.15,3.75
446,PGC000446,1.5108,27.3489,110.6960,-34.4420,8.91,3181,3438,0.00,0,446,660,1,3181,3438,10.962,,33.78,-27.64,14.01
474,ESO293-034,1.5828,-41.5000,332.8212,-72.9086,10.06,1512,1470,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.45,-18.44,-0.53
482,PGC000482,1.6058,-41.5066,332.7606,-72.9134,8.81,1428,1386,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.42,-18.34,-0.53
496,UGC00047,1.6591,17.2841,107.9183,-44.2777,7.90,873,1100,0.00,0,496,889,1,873,1100,10.455,,9.14,-10.75,4.00
522,ESO293-035,1.7149,-41.8398,331.8781,-72.6908,8.09,1552,1509,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.56,-18.46,-0.60
544,PGC000544,1.7199,-41.4249,332.6895,-73.0298,7.74,1435,1394,0.00,0,474,474,4,1482,1440,11.709,11.348,-5.39,-18.36,-0.55
562,ESO149-018,1.8102,-52.6199,317.8900,-63.2058,8.59,1825,1728,0.00,0,562,562,1,1825,1728,10.801,,-10.39,-20.45,-2.17
591,UGC00064,1.9337,40.8759,114.0867,-21.2440,7.98,305,588,0.00,0,591,591,1,305,588,10.496,,6.71,-3.14,2.56
598,UGC00063,1.9617,35.9661,113.1235,-26.0740,8.18,439,714,0.00,0,598,598,1,439,714,10.595,,7.80,-4.55,3.03
621,ESO349-031,2.0564,-34.5787,351.4759,-78.1170,7.02,221,214,3.21,9,621,2789,1,221,214,10.017,,-0.55,-3.16,0.02
627,NGC0007,2.0869,-29.9153,13.9928,-80.1378,8.81,1518,1535,19.14,14,627,1851,1,1518,1535,10.908,,-1.81,-19.04,0.65
647,NGC0014,2.1928,15.8164,108.1252,-45.8251,9.36,865,1086,5.73,18,218,218,6,964,1188,12.498,12.272,5.90,-7.28,2.52
660,NGC0016,2.2679,27.7294,111.5861,-34.2072,11.08,3100,3356,0.00,0,660,660,1,3100,3356,12.746,,33.32,-26.78,13.23
695,IC1532,2.4696,-64.3716,310.2378,-52.1630,9.27,1830,1678,34.83,18,695,1952,1,1830,1678,11.149,,-21.20,-27.05,-5.66
697,PGC000697,2.4711,15.7348,108.4718,-45.9670,7.94,897,1117,0.00,0,218,218,6,964,1188,12.498,12.272,5.93,-7.32,2.48
701,NGC0024,2.4848,-24.9638,43.6860,-80.4343,9.41,545,586,7.87,8,701,701,1,545,586,11.236,,-0.08,-7.86,0.44
703,UGC00090,2.5074,16.9403,108.9117,-44.8012,7.50,908,1133,0.00,0,703,889,1,908,1133,10.255,,9.42,-11.14,3.90
721,ESO538-024,2.5746,-18.2650,73.8803,-77.0278,8.70,1546,1620,0.00,0,721,721,1,1546,1620,10.856,,2.16,-21.40,2.00
757,UGC00099,2.6698,13.7094,108.0540,-47.9814,9.36,1742,1955,0.00,0,757,757,1,1742,1955,11.204,,15.21,-20.19,6.36
800,ESO293-045,2.8535,-41.3983,330.3084,-73.5344,8.85,1462,1419,0.00,0,800,474,1,1462,1419,10.928,,-5.23,-18.17,-0.80
809,ESO349-039,2.9032,-36.9363,341.0966,-77.0768,9.01,1985,1964,0.00,0,809,809,1,1985,1964,11.013,,-5.36,-25.63,-0.47
824,PGC000824,2.9575,-27.3671,29.1101,-81.1959,8.56,2995,3023,0.00,0,824,198756,1,2995,3023,10.787,,-1.94,-40.23,1.44
878,UGC00119,3.2630,14.4094,109.1231,-47.4305,9.59,2023,2237,0.00,0,878,878,2,2020,2235,11.356,6.666,17.76,-22.87,7.07
889,UGC00122,3.3236,17.0293,110.0136,-44.8835,8.55,854,1077,0.00,0,889,889,1,854,1077,10.782,,9.04,-10.59,3.53
924,UGC00132,3.5031,12.9639,108.9883,-48.8920,8.98,1680,1889,20.32,25,924,924,2,1687,1896,11.029,9.442,11.75,-15.91,4.62
929,NGC0048,3.5093,48.2349,116.5236,-14.1709,9.99,1776,2064,0.00,0,929,929,1,1776,2064,11.626,,24.94,-7.74,8.70
930,NGC0045,3.5164,-23.1821,55.9027,-80.6717,8.96,470,518,6.64,9,930,930,1,470,518,10.987,,0.16,-6.63,0.34
934,UGC00134,3.5135,12.8966,108.9808,-48.9598,8.36,764,973,0.00,0,934,934,1,764,973,10.684,,7.49,-10.17,2.95
965,UGC00115,2.6953,88.3348,122.6064,25.4889,8.90,1983,2233,0.00,0,965,965,1,1983,2233,10.957,,25.99,11.98,8.22
1001,ESO241-027,3.7617,-43.2924,325.0930,-72.2355,9.60,3273,3219,0.00,0,1001,1001,1,3273,3219,11.352,,-12.98,-40.82,-2.75
1014,NGC0055,3.7233,-39.1966,332.8820,-75.7309,9.29,129,95,1.99,6,1014,2789,2,118,75,11.161,10.695,-0.47,-1.93,-0.08
1034,NGC0059,3.8547,-21.4445,65.7098,-80.0220,8.58,376,432,4.90,9,1034,2789,1,376,432,10.795,,0.27,-4.89,0.27
1038,ESO410-005,3.8802,-32.1806,357.8449,-80.7097,6.97,159,161,1.96,7,1038,2789,1,159,161,9.992,,-0.24,-1.95,-0.01
1107,UGC00156,4.2012,12.3500,109.8072,-49.6371,8.95,1135,1340,0.00,0,1107,1160,1,1135,1340,10.979,,10.26,-14.12,3.82
1124,UGC00159,4.3171,17.5225,111.4597,-44.5867,7.97,1004,1226,0.00,0,1124,1124,1,1004,1226,10.490,,10.47,-11.97,3.79
1130,ESO539-005,4.2926,-19.3014,75.9915,-78.9059,10.53,3233,3299,43.65,18,1130,1130,1,3233,3299,12.124,,4.02,-43.39,2.61
1160,NGC0063,4.4397,11.4503,109.8742,-50.5656,10.11,1160,1361,18.62,11,1160,1160,2,1152,1351,11.789,10.410,10.49,-14.90,3.84
1205,ESO194-002,4.6269,-47.6555,318.1804,-68.4859,8.30,1494,1417,0.00,0,1205,1205,1,1494,1417,10.653,,-6.93,-17.48,-1.84
1218,ESO539-007,4.7020,-19.0078,78.5104,-78.9498,9.50,3187,3253,0.00,0,1218,1130,1,3187,3253,11.288,,4.30,-43.09,2.39
1225,PGC001225,4.7888,-57.6416,311.3109,-58.9584,9.15,1786,1661,0.00,0,1225,1225,1,1786,1661,11.086,,-11.36,-18.73,-3.29
1242,PGC001242,4.7979,-22.6684,62.5621,-81.4385,8.16,669,717,0.00,0,1242,1242,1,669,717,10.588,,0.37,-9.55,0.32
1284,ESO028-014,4.9934,-77.0914,305.2158,-39.8969,9.34,1810,1605,0.00,0,1284,1284,1,1810,1605,11.190,,-16.05,-13.26,-4.95
1292,UGC00191,5.0213,10.8792,110.5801,-51.2390,9.41,1144,1341,18.37,25,1160,1160,2,1152,1351,11.789,10.410,10.38,-14.97,3.61
1305,"IC 10",5.0963,59.2931,118.9699,-3.3395,8.51,-346,-56,0.79,6,2557,2557,38,-273,-14,12.441,12.447,0.75,-0.07,0.24
1335,ESO078-022,5.2374,-63.8571,308.4970,-52.9404,9.50,1769,1616,0.00,0,1335,1335,2,1757,1604,11.360,10.502,-12.75,-16.76,-3.86
1336,UGC00199,5.2158,12.8560,111.4537,-49.3331,8.31,1803,2008,0.00,0,1336,1336,1,1803,2008,10.661,,15.69,-21.03,5.34
1357,NGC0087,5.3088,-48.6301,316.1707,-67.7143,9.19,3463,3380,0.00,0,1388,1388,5,3362,3279,12.675,11.450,-16.63,-40.29,-4.81
1370,NGC0088,5.3416,-48.6402,316.1081,-67.7114,9.55,3408,3325,0.00,0,1388,1388,5,3362,3279,12.675,11.450,-16.60,-40.22,-4.82
1374,NGC0089,5.3515,-48.6654,316.0714,-67.6894,10.34,3320,3237,0.00,0,1388,1388,5,3362,3279,12.675,11.450,-16.57,-40.11,-4.82
1388,NGC0092,5.3822,-48.6249,316.0532,-67.7342,10.82,3219,3136,0.00,0,1388,1388,5,3362,3279,12.675,11.450,-16.49,-40.00,-4.81
1440,ESO150-005,5.6095,-53.6479,312.3975,-62.9441,9.28,1435,1328,0.00,0,1440,1440,1,1435,1328,11.155,,-8.02,-15.60,-2.43
1452,ESO194-013,5.6586,-48.5811,315.6269,-67.8309,10.03,3400,3317,0.00,0,1388,1388,5,3362,3279,12.675,11.450,-16.51,-40.23,-4.96
1457,PGC001457,5.6848,-6.6852,103.1944,-68.4502,8.89,1491,1614,0.00,0,1457,1457,1,1491,1614,10.948,,6.54,-20.38,2.21
1518,NGC0101,5.9776,-32.5363,349.0886,-81.9487,10.31,3377,3373,0.00,0,1518,1518,1,3377,3373,11.901,,-5.36,-44.62,-1.61
1525,NGC0100,6.0117,16.4864,113.4792,-45.8820,9.31,841,1056,18.54,14,1525,1525,1,841,1056,11.173,,11.80,-13.81,3.73
1574,PGC001574,6.2809,0.3127,108.8832,-61.8392,8.37,3234,3387,0.00,0,1574,1574,1,3234,3387,10.688,,18.73,-40.69,5.72
1641,ESO294-010,6.6390,-41.8556,320.4155,-74.4172,6.27,107,55,2.00,7,1014,2789,2,118,75,11.161,10.695,-0.54,-1.92,-0.18
1651,NGC0115,6.6933,-33.6770,340.4905,-81.5678,9.30,1855,1844,28.84,14,1851,1851,12,1649,1638,12.970,12.866,-3.89,-28.54,-1.49
1652,PGC001652,6.7217,11.5732,113.3833,-50.8428,9.01,2073,2270,0.00,0,1665,1665,2,2102,2299,11.744,10.236,16.46,-22.80,4.85
1665,UGC00260,6.7622,11.5838,113.4479,-50.8383,10.10,2131,2327,28.58,14,1665,1665,2,2102,2299,11.744,10.236,16.50,-22.83,4.83
1680,PGC001680,6.8346,-47.3364,314.5118,-69.2463,9.83,3442,3363,0.00,0,1680,1388,1,3442,3363,11.509,,-15.87,-41.59,-5.40
1714,PGC001714,6.9648,3.4897,111.4993,-58.8577,8.40,1380,1544,26.18,18,1714,1714,1,1380,1544,10.705,,12.18,-22.92,3.41
1740,ESO410-012,7.0752,-27.9834,22.1336,-84.8017,9.34,1557,1573,0.00,0,1740,1851,1,1557,1573,11.190,,-0.81,-20.95,-0.59
1745,ESO194-020,7.0848,-49.0755,312.8933,-67.6035,9.68,3000,2912,0.00,0,1745,1745,1,3000,2912,11.407,,-14.75,-35.55,-5.10
1750,PGC001750,7.1109,5.0044,112.2618,-57.3902,8.62,1344,1514,0.00,0,1750,1750,1,1344,1514,10.814,,9.85,-17.41,2.72
1771,UGC00285,7.2130,28.9396,116.9934,-33.6715,9.63,2169,2418,0.00,0,1771,1771,1,2169,2418,11.371,,25.15,-18.80,7.32
1774,PGC001774,7.2085,32.1739,117.3835,-30.4541,9.60,2893,3150,0.00,0,1774,1774,1,2893,3150,11.350,,34.02,-22.52,9.96
1777,UGC00288,7.2672,43.4308,118.6330,-19.2541,7.70,187,464,6.82,9,1777,1777,1,187,464,10.352,,6.10,-2.46,1.81
1781,UGC00290,7.2849,15.8990,115.1121,-46.6339,8.06,766,977,12.76,18,1781,1781,1,766,977,10.534,,8.11,-9.59,2.28
1813,NGC0131,7.4104,-33.2599,339.1207,-82.2714,9.73,1455,1444,13.24,25,1851,1851,12,1649,1638,12.970,12.866,-2.39,-18.97,-1.14
1816,ESO194-021,7.4238,-51.5207,311.0300,-65.2643,10.93,3301,3201,47.21,23,1816,1816,1,3301,3201,12.573,,-19.64,-42.38,-6.89
1835,UGC00300,7.5174,3.5129,112.5593,-58.9278,7.89,1345,1508,0.00,0,1835,1750,1,1345,1508,10.452,,9.42,-17.60,2.43
1851,NGC0134,7.5911,-33.2440,338.3093,-82.3778,11.23,1602,1591,19.23,14,1851,1851,12,1649,1638,12.970,12.866,-2.38,-19.04,-1.19
1855,ESO194-022,7.6002,-48.6850,312.2531,-68.0606,10.00,3377,3290,0.00,0,1855,1388,1,3377,3290,11.633,,-16.33,-40.28,-5.93
1898,ESO350-026,7.7621,-33.2706,337.3284,-82.4437,9.14,1589,1578,0.00,0,1851,1851,12,1649,1638,12.970,12.866,-2.39,-19.14,-1.25
1920,ESO473-024,7.8453,-22.7663,75.6623,-83.7011,7.03,530,571,0.00,0,2789,2789,4,305,340,12.775,12.714,0.20,-3.79,-0.05
1924,UGC00313,7.8588,6.2068,113.9429,-56.3155,9.62,2085,2258,15.28,25,1924,1924,1,2085,2258,11.364,,7.77,-13.01,1.95
1935,PGC001935,7.9058,-11.8447,105.0493,-74.0245,9.76,3220,3314,0.00,0,1935,1935,1,3220,3314,11.462,,10.27,-42.94,1.79
1947,ESO350-031,7.9824,-33.2659,336.2124,-82.5567,8.80,1672,1660,0.00,0,1851,1851,12,1649,1638,12.970,12.866,-2.38,-19.25,-1.31
1951,ESO079-002,8.0046,-64.3900,306.3855,-52.6077,9.56,2764,2606,0.00,0,1952,1952,2,2690,2532,12.400,11.647,-20.19,-26.30,-6.86
1952,ESO079-003,8.0088,-64.2534,306.4105,-52.7435,10.75,2616,2459,0.00,0,1952,1952,2,2690,2532,12.400,11.647,-20.01,-26.20,-6.80
1956,ESO294-020,8.0394,-40.2671,318.6031,-76.2688,9.39,1424,1377,0.00,0,1956,1956,1,1424,1377,11.220,,-4.36,-17.74,-1.87
1970,UGC00320,8.1285,2.5742,113.4617,-59.9491,9.13,2374,2532,39.99,14,1970,1970,2,2377,2535,11.100,9.312,18.30,-35.30,4.26
1977,IC1553,8.1672,-25.6075,51.7638,-85.5297,10.22,2963,2989,36.48,14,1977,1977,1,2963,2989,11.815,,0.21,-36.46,-1.19
2000,IC1554,8.2807,-32.2584,339.6069,-83.5103,9.90,1696,1689,0.00,0,1851,1851,12,1649,1638,12.970,12.866,-2.04,-19.33,-1.30
2004,"NGC 147",8.3000,48.5086,119.8170,-14.2528,7.79,-193,88,0.68,4,2557,2557,38,-273,-14,12.441,12.447,0.63,-0.19,0.18
2016,UGC00328,8.3420,-1.1213,112.7182,-63.6341,9.12,1988,2129,0.00,0,2016,2016,2,2015,2157,11.079,9.525,11.59,-26.17,2.46
2025,ESO410-017,8.4096,-27.7965,22.3028,-85.9957,8.77,1809,1823,0.00,0,2025,3089,1,1809,1823,10.889,,-0.72,-24.27,-1.14
2044,ESO410-018,8.5463,-30.7739,347.8979,-84.7535,9.19,1585,1584,0.00,0,2044,1851,2,1557,1556,11.114,10.255,-1.64,-20.68,-1.32
2052,NGC0150,8.5646,-27.8037,21.8940,-86.1300,10.50,1534,1548,23.77,14,2052,3089,2,1472,1486,12.093,10.558,-0.69,-23.73,-1.17
2053,NGC0148,8.5646,-31.7861,340.6551,-84.0280,10.27,1516,1510,0.00,0,2053,1851,1,1516,1510,11.867,,-1.93,-19.99,-1.38
2071,IC1555,8.6361,-30.0179,354.0143,-85.2990,9.01,1528,1531,18.03,14,2071,1851,1,1528,1531,11.009,,-1.19,-17.96,-1.10
2081,NGC0157,8.6948,-8.3965,110.2757,-70.8578,11.00,1685,1793,12.08,18,2081,2081,1,1685,1793,12.659,,3.53,-11.54,0.54
2121,"Andromeda II",8.8447,36.5047,119.3342,-26.2548,6.66,-346,-83,0.75,3,2557,2557,38,-273,-14,12.441,12.447,0.64,-0.35,0.17
2138,ESO540-003,8.9145,-20.1253,94.8170,-82.1211,10.31,3306,3358,0.00,0,2138,2138,1,3306,3358,11.902,,4.52,-44.54,-0.76
2142,IC1558,8.9444,-25.3741,58.6007,-86.0752,9.80,1556,1582,0.00,0,2142,2142,2,1558,1583,11.493,7.173,0.28,-21.08,-0.91
2216,PGC002216,9.2817,28.8318,119.1539,-33.9349,9.29,1986,2231,0.00,0,2216,2216,1,1986,2231,11.161,,23.44,-17.36,5.84
2228,NGC0172,9.3066,-22.5870,86.7987,-84.4317,10.00,3063,3102,46.34,18,2228,2228,1,3063,3102,11.635,,2.85,-46.22,-1.63
2235,PGC002235,9.3591,-37.0534,318.6583,-79.6436,8.99,3418,3385,0.00,0,2235,2235,1,3418,3385,11.000,,-8.11,-44.15,-4.71
2274,ESO242-020,9.5101,-46.5176,309.8257,-70.4308,9.90,3329,3249,0.00,0,2274,2274,1,3329,3249,11.559,,-14.39,-40.36,-6.39
2323,PGC002323,9.7045,-24.2229,77.8545,-85.9352,9.22,1541,1571,0.00,0,2323,2142,1,1541,1571,11.121,,0.75,-20.91,-1.03
2329,"NGC 185",9.7406,48.3374,120.7912,-14.4824,8.13,-202,77,0.62,4,2557,2557,38,-273,-14,12.441,12.447,0.58,-0.17,0.15
2345,ESO242-022,9.7712,-43.0834,311.0641,-73.8492,8.95,3431,3367,0.00,0,2345,2345,1,3431,3367,10.980,,-12.42,-42.71,-6.11
2348,PGC002348,9.7842,58.5939,121.3255,-4.2393,9.44,2101,2385,0.00,0,2348,2348,1,2101,2385,11.253,,30.48,-3.30,8.45
2349,NGC0178,9.7848,-14.1729,109.8365,-76.7310,9.56,1447,1525,0.00,0,2437,2437,3,1558,1637,12.230,10.320,3.90,-18.77,-0.03
2421,ESO540-012,10.0726,-20.6917,100.7579,-83.0784,8.87,2515,2561,0.00,0,2421,2421,1,2515,2561,10.939,,3.30,-33.96,-1.29
2429,"NGC 205",10.0920,41.6854,120.7164,-21.1387,8.80,-241,28,0.82,3,2557,2557,38,-273,-14,12.441,12.447,0.73,-0.32,0.19
2436,UGC00392,10.1460,83.2225,122.5905,20.3580,10.18,1409,1670,0.00,0,2436,2436,1,1409,1670,11.780,,20.19,7.11,6.15
2437,NGC0210,10.1460,-13.8728,111.5732,-76.5046,10.59,1605,1684,19.32,14,2437,2437,3,1558,1637,12.230,10.320,4.06,-18.89,-0.12
2445,ESO079-005,10.1839,-63.4407,304.9497,-53.6455,9.40,1746,1589,18.97,14,2445,2445,1,1746,1589,11.230,,-10.98,-14.92,-4.09
2464,ESO540-014,10.2991,-21.1314,101.1078,-83.5647,9.65,1654,1697,0.00,0,2464,2464,1,1654,1697,11.382,,2.04,-22.51,-0.98
2465,PGC002465,10.3025,-13.5462,112.4482,-76.2094,8.75,1621,1701,0.00,0,2437,2437,3,1558,1637,12.230,10.320,4.19,-18.95,-0.14
2478,NGC0216,10.3621,-21.0481,101.8546,-83.5071,9.62,1493,1537,0.00,0,2478,2478,1,1493,1537,11.365,,1.88,-20.39,-0.90
2492,PGC002492,10.4394,-16.8617,110.1297,-79.4921,10.09,1552,1616,25.47,25,2492,2492,1,1552,1616,11.712,,4.13,-25.13,-0.64
2526,ESO540-016,10.5613,-18.1617,109.1648,-80.7868,8.98,1553,1610,26.42,14,2526,2492,1,1553,1610,10.997,,3.73,-26.14,-0.88
2544,PGC002544,10.6254,40.5758,121.0985,-22.2641,7.17,237,504,7.18,9,2544,2544,1,237,504,10.090,,6.38,-2.91,1.55
2555,M32,10.6741,40.8652,121.1499,-21.9763,9.09,-200,67,0.81,10,2557,2557,38,-273,-14,12.441,12.447,0.72,-0.32,0.18
2557,Andromeda,10.6848,41.2689,121.1744,-21.5731,10.78,-300,-32,0.78,3,2557,2557,38,-273,-14,12.441,12.447,0.70,-0.31,0.17
2578,IC1574,10.7652,-22.2476,101.1867,-84.7619,7.65,359,396,4.92,9,2578,2789,1,359,396,10.332,,0.36,-4.90,-0.28
2646,PGC002646,11.2015,5.1358,119.8411,-57.6961,9.87,2897,3058,0.00,0,2646,2646,1,2897,3058,11.538,,20.77,-34.98,2.73
2666,"Andromeda I",11.4167,38.0387,121.6800,-24.8190,7.22,-376,-115,0.74,3,2557,2557,38,-273,-14,12.441,12.447,0.65,-0.33,0.15
2675,NGC0244,11.4435,-15.5970,116.1374,-78.3940,9.05,947,1014,0.00,0,2675,2675,1,947,1014,11.029,,2.53,-13.27,-0.48
2689,PGC002689,11.5140,-11.5054,118.0465,-74.3262,9.25,1618,1704,0.00,0,2802,2802,2,1624,1710,11.694,9.819,5.81,-22.04,-0.39
2699,UGC00477,11.5548,19.4899,121.2400,-43.3647,9.75,2653,2865,36.31,14,2699,2699,1,2653,2865,11.455,,25.36,-25.59,4.54
2710,IC0051,11.6007,-13.4424,117.7696,-76.2637,9.90,1678,1755,0.00,0,2710,2802,1,1678,1755,11.558,,5.23,-22.80,-0.65
2740,ESO411-012,11.7126,-31.5410,315.4208,-85.4755,8.39,1510,1499,0.00,0,3089,3089,11,1585,1572,12.568,12.835,-1.83,-23.01,-2.61
2753,ESO411-013,11.7767,-31.5814,314.6364,-85.4480,9.27,1760,1748,0.00,0,3089,3089,11,1585,1572,12.568,12.835,-1.87,-23.34,-2.67
2754,ESO474-025,11.7799,-22.5938,110.5118,-85.3611,8.99,2850,2882,0.00,0,2754,2754,1,2850,2882,11.000,,2.77,-38.22,-2.82
2758,NGC0247,11.7857,-20.7604,113.9479,-83.5572,9.14,156,198,3.52,6,2789,2789,4,305,340,12.775,12.714,0.36,-3.49,-0.23
2778,NGC0254,11.8665,-31.4221,314.0961,-85.6197,10.43,1525,1514,0.00,0,3089,3089,11,1585,1572,12.568,12.835,-1.77,-23.03,-2.65
2789,NGC0253,11.8880,-25.2884,97.3653,-87.9642,11.10,243,262,3.56,7,2789,2789,4,305,340,12.775,12.714,0.10,-3.55,-0.31
2797,ESO411-016,11.9149,-27.9476,348.3432,-88.8283,8.73,1747,1753,0.00,0,2797,3089,2,1758,1764,10.912,8.509,-0.41,-23.38,-2.34
2802,NGC0255,11.9471,-11.4687,119.6223,-74.3170,10.00,1631,1717,0.00,0,2802,2802,2,1624,1710,11.694,9.819,5.87,-22.03,-0.55
2805,PGC002805,11.9480,-9.8995,119.9027,-72.7498,9.11,1346,1439,16.98,14,2805,2805,1,1346,1439,11.061,,4.80,-16.28,-0.28
2816,ESO411-018,11.9975,-31.9689,311.5277,-85.1017,8.87,1719,1705,0.00,0,3089,3089,11,1585,1572,12.568,12.835,-2.00,-23.26,-2.78
2834,IC0052,12.0990,4.0919,121.4687,-58.7713,9.20,1959,2113,0.00,0,2834,2834,1,1959,2113,11.107,,14.05,-24.39,1.33
2841,ESO295-007,12.1338,-40.1730,305.3867,-76.9413,10.34,3548,3494,0.00,0,2841,2841,1,3548,3494,11.931,,-10.30,-44.86,-7.17
2868,ESO411-019,12.2767,-29.1235,317.2385,-87.9396,8.48,1817,1817,0.00,0,2868,3089,1,1817,1817,10.745,,-0.87,-24.06,-2.67
2881,ESO540-030,12.3379,-18.0753,119.7842,-80.9343,6.89,224,277,3.48,7,2881,2789,1,224,277,9.949,,0.52,-3.43,-0.21
2902,ESO540-031,12.4571,-21.0130,119.4096,-83.8738,7.31,292,331,3.39,7,2789,2789,4,305,340,12.775,12.714,0.34,-3.36,-0.26
2919,ESO079-007,12.5169,-66.5525,303.1466,-50.5751,9.25,1685,1514,0.00,0,2919,2919,1,1685,1514,11.140,,-12.43,-15.15,-4.85
2933,ESO540-032,12.6024,-19.9064,121.0094,-82.7744,6.83,228,272,3.60,7,2933,2789,1,228,272,9.920,,0.43,-3.56,-0.27
2980,NGC0274,12.7579,-7.0571,122.6385,-69.9286,10.32,1666,1770,21.28,11,2980,2980,2,1705,1809,12.083,9.922,7.06,-20.07,-0.35
2984,NGC0275,12.7692,-7.0665,122.6709,-69.9381,10.02,1744,1848,0.00,0,2980,2980,2,1705,1809,12.083,9.922,7.08,-20.12,-0.36
2992,UGC00521,12.8001,12.0246,122.8400,-50.8471,8.45,659,843,0.00,0,2992,2992,1,659,843,10.732,,6.87,-8.86,0.81
3031,UGC00527,12.9581,3.1058,123.1273,-59.7658,8.57,1951,2098,0.00,0,3031,2834,1,1951,2098,10.792,,13.65,-24.40,0.78
3040,PGC003040,12.9949,-1.6718,123.2471,-64.5432,8.10,1911,2038,0.00,0,3040,3040,1,1911,2038,10.558,,11.32,-24.70,0.13
3043,PGC003043,12.9984,-0.4867,123.2417,-63.3581,9.02,1622,1755,0.00,0,3043,3043,2,1618,1751,11.057,7.267,10.15,-21.03,0.24
3051,NGC0278,13.0179,47.5505,123.0428,-15.3210,10.34,627,899,0.00,0,3051,3051,1,627,899,11.929,,11.20,-3.46,2.49
3062,PGC003062,13.0717,-3.9671,123.4703,-66.8380,8.35,1393,1510,30.48,25,3062,3062,1,1393,1510,10.679,,11.64,-28.17,-0.22
3085,SMC,13.1583,-72.8002,302.8084,-44.3277,8.83,158,-37,0.06,6,5064336,2557,16,9,-36,12.146,12.935,-0.04,-0.04,-0.02
3089,NGC0289,13.1765,-31.2058,299.1260,-85.9130,10.72,1629,1616,23.33,14,3089,3089,11,1585,1572,12.568,12.835,-1.58,-23.07,-3.08
3095,ESO411-026,13.1897,-31.7182,299.4264,-85.4010,8.57,1607,1592,0.00,0,3089,3089,11,1585,1572,12.568,12.835,-1.78,-23.08,-3.14
